,lat,lon,fs_parks,yelp_parks
0,43.665269,-79.319796,29,10
1,43.67142,-79.445947,28,3
2,43.666224,-79.317693,28,10
3,43.653236,-79.376716,50,43
4,43.663722,-79.380288,50,39
5,43.657763,-79.389165,50,36
6,43.656729,-79.382736,50,38
7,43.664467,-79.414783,43,16
8,43.675492,-79.388858,50,25
9,43.674991,-79.396273,50,25
10,43.671944,-79.387778,50,26
11,43.662365,-79.351104,43,24
12,43.646144,-79.377962,50,37
13,43.663993,-79.358534,46,24
14,43.657266,-79.374756,50,41
15,43.6672144,-79.3452697,44,22
16,43.673939,-79.441159,26,6
17,43.657991,-79.340075,31,17
18,43.66745,-79.329408,40,16
19,43.672453,-79.338259,40,16
20,43.6592088,-79.3348396,30,15
21,43.689211,-79.35438,22,3
22,43.656927,-79.378497,50,43
23,43.658295,-79.372346,50,42
24,43.6940155,-79.2889842,15,1
25,43.6809164,-79.4229684,26,10
26,43.6910667,-79.39535,34,6
27,43.6975969,-79.39654,28,6
28,43.639832,-79.395954,50,31
29,43.667333,-79.399429,50,27
30,43.6480008,-79.383177,50,37
31,43.656518,-79.389099,50,37
32,43.687999,-79.38906,39,9
33,43.6563889,-79.45166667,34,4
34,43.639179,-79.399595,50,27
35,43.6616667,-79.40138889,50,30
36,43.66666667,-79.45833333,30,4
37,43.657192,-79.452559,32,4
38,43.6576,-79.4032,49,23
39,43.660694,-79.379052,50,40
40,43.636533,-79.395854,50,23
41,43.659777,-79.382767,50,38
42,43.643667,-79.380414,50,38
43,43.666233,-79.373327,48,37
44,43.640114,-79.393249,50,34
45,43.653766,-79.4016759,49,29
46,43.6587734,-79.443054,34,4
47,43.65388889,-79.44138889,29,6
48,43.65083333,-79.44305556,31,6
49,43.651238,-79.43868,33,7
50,43.6544915,-79.422634,33,12
51,43.6543604,-79.4655296,30,7
52,43.635932,-79.465083,21,11
53,43.654501,-79.460053,27,8
54,43.634896,-79.467763,21,12
55,43.6314,-79.4304,17,7
56,43.636731,-79.444966,22,7
57,43.6534268,-79.4512787,34,7
58,43.7112153,-79.39894,23,7
59,43.655227,-79.39201,50,35
60,43.685167,-79.34962,26,3
61,43.6704537,-79.39014,50,27
62,43.6691099,-79.38551,50,28
63,43.641389,-79.404444,50,27
64,43.643834,-79.396649,50,35
65,43.6545174,-79.3895315,50,37
66,43.665846,-79.404998,50,21
67,43.6461,-79.3895,50,36
68,43.671349,-79.29451,18,6
