,id,name,lat,lon,bikes
60,d7227eafd0ff8024632b2c9cef1f209c,Mortimer Ave / Carlaw Ave SMART,43.685167,-79.34962,9
61,0ec9fc6c92f35e65f603cd6e7c550f1f,Cumberland St / Bay St SMART,43.6704537,-79.39014,4
62,d9b63bdad84959af04feaa873f9c0eaf,20 Charles St E,43.6691099,-79.38551,1
63,0ff8f31be644b9e2af6d38b89bf42c07,Niagara St / Tecumseth St,43.641389,-79.404444,6
64,01caf8b12874b091f2fccc3818e3c72e,424 Wellington St W,43.643834,-79.396649,9
65,bb30daddc7221e19cffecf3ac108f28c,Dundas St W / St. Patrick St,43.6545174,-79.3895315,1
66,f52bcef41a84669da7a468cfc4531356,Robert St / Bloor St W - SMART,43.665846,-79.404998,13
67,ccb82af3c137b126999a511eaead0f38,John St  / Mercer St - SMART,43.6461,-79.3895,4
68,05d7abba295be4af9e74ca3ec241ebd7,Queen St E / Hammersmith Ave,43.671349,-79.29451,1
69,973748f7f27229b41ca0d2a96dea777e,Queen St. E / Eastern Ave,43.667208,-79.312315,1
70,e5a7fc18db4989ecaf70a7e98866faee,Hubbard Blvd / Balsam Av,43.669328,-79.288949,2
71,c7cbc921ca5b8310e7218ca5669ad83f,Queen St. E / Spruce Hill Rd.,43.672571,-79.289,0
72,d1de2ddc0ea8a90d00ff717ad60a2f23,Lower Spadina Ave / Lake Shore Blvd W,43.638497,-79.39192,0
73,61291082be03c77f92f883b95292557a,Lower Coxwell Ave /  Lake Shore Blvd E,43.662771,-79.315223,8
74,d60491c58bb95d6ddefb1f1b1ac3f56f,Amelia St. / Sumach St.,43.66852,-79.363525,9
75,d81d4d6231b9da01ba7f3d6e50728ca8,Augusta Ave / Dundas St W,43.652473,-79.401456,2
76,d0a8478c786cb2480de4fcecda844781,Queen St W / Ossington Ave,43.643975,-79.419576,1
77,1053161189e46ea1c3122c94b644bc9d,Trinity St /Front St E,43.651318,-79.36023,10
78,02feaaef65cff4671fb1935179895659,Dundas St W / Yonge St,43.656094,-79.381484,7
79,b076c918fa10b274340bcdb0f0bca1a6,Kendal Ave / Spadina Rd,43.670318,-79.405181,4
80,45be3a2b4a327ff6abac542ddc406738,Davenport Rd / Bathurst St,43.676667,-79.416111,26
81,ad436e2a229c14d4611cbcacd7cf026f,Queen St W / Close Ave,43.640634,-79.435841,11
82,dc268bf6d12c7311db0b5b61b3304b03,King St W / Joe Shuster Way,43.639444,-79.423611,6
83,0abdfc3177000757dcd71bd4c8b479ee,Yarmouth Rd / Christie St,43.67,-79.42083333333333,11
84,37c32c09c594b83701b3b8f6e32db605,Palmerston Ave / Vermont Ave,43.671389,-79.416389,9
85,8536b57314846d3b42645c0023e6e60d,Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001,18
86,8db5b143b08ea1fed85f0702fcfe01ec,King St W / Fraser Ave,43.6394444,-79.42527777777778,14
87,879f0d4ef4403ab902e541528bf329f6,Macpherson Ave / Spadina Rd,43.675791,-79.40698,13
88,c497911a9c04bebbbc32e5211c081f85,Bridgman Ave / Kendal Ave,43.675556,-79.410278,3
89,2e19220f1e64559e88f3c48b3ebf2916,Bridgman Ave / Bathurst St,43.674444,-79.414722,10
90,afa3ff2218a5d1817934c7c7c7bb5d19,Kendal Ave / Bernard Ave,43.671513,-79.408317,8
91,ddba9c631e11fbae48e2be60289f60c2,Pretoria Ave / Broadview Ave,43.6783213,-79.35822,10
92,a7ca61373064c6581461132f1ae050de,Broadview Ave / Westwood Ave,43.6848652,-79.356602,17
93,62a1c39596c3d512dfa04f1d29b81035,Fulton Ave / Pape Ave,43.68395,-79.347046,15
94,b960be1eba97f5aefc6ad39ecc93cb11,Cosburn Ave / Donlands Ave,43.690537,-79.341307,14
95,908b17c0d06011373777bace0a3cd74c,Beltline Trail / Chaplin Cres.,43.704461,-79.423122,2
96,d2ce6ae839b7df2c912ab140253a5574,Lake Shore Blvd E / Leslie St,43.659195,-79.329196,8
97,1d35b8fd44d73aabbb39f6e142ee3e7e,King St E / Berkeley St,43.651885,-79.3649,2
98,72de8a8e0a0966768f8115d755532e4c,Rosedale Park (20 Scholfield Ave),43.682645,-79.377557,21
99,4c18c44e6f93e57321d327124945cb19,Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,8
100,65b3d69f8a07aec4897e485e2ccb1461,Soho St / Queen St W,43.6494896,-79.393535,3
101,071b427d1f3f600d6b9f35ca6576ebe2,Davenport Rd / Lansdowne Ave,43.671526,-79.44874,12
102,08b57a79795bbd49a15e4a3692ee924f,Front St W / University Ave (2),43.6452972,-79.3827914,4
103,fe806cf907683c67f4d2899eb4123f00,457 King St W,43.6452091,-79.3960744,7
104,dad51db43939490092b81d8cea72e018,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112,7
105,d1327be417a65e26c8bb501ea3e43a2b,Roxborough St W / Yonge St,43.678077,-79.390328,15
106,d06ed2c21f6ff4e4cbc77b64e65bd801,Crawford St / Queen St W,43.645665,-79.415345,7
107,97db697b7ef7a4de9ca17b9bd037e80f,Lisgar St / Dundas St W - SMART,43.6493472,-79.42668,0
108,789f216e52af17d73307365401bb9109,Dundas St E / Regent Park Blvd,43.660207,-79.361275,21
109,9c5b6e6af1002ebba73b6be3039e78a2,Lower Sherbourne St / The Esplanade,43.648655,-79.367061,15
110,ceb52586adc7097b47183068a3d24862,Nelson St / Duncan St,43.648711,-79.389728,14
111,4b5b510307e10e878321a5eaa419c976,Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,6
112,ed77bb45e5a6964a4b94c780d5c21584,Queen St E / Sackville St,43.6561111,-79.36138888888888,12
113,419d42f093b90ba03bd31b21039ff5f0,Mill St / Tannery Rd,43.652219,-79.354455,9
114,b3fca97a4a4308fefb648b6815e3907d,Cherry St / Distillery Ln,43.650279,-79.356832,9
115,17b0d8ca1c69eca14d3173c15fa144e4,Queen St W / Spadina Ave,43.649147,-79.395504,2
116,6e85452c2c8acbdaa8f298911d9996ec,Yonge St / Harbour St,43.643795,-79.375413,22
117,c4077147fd13aa009cb7f1a59b0f8178,Willcocks St / St. George St,43.662085,-79.397735,14
118,b894ec8d0d8ab0f3a9bf708ee4c90d14,Dundas St E / Parliament St,43.659575,-79.365769,6
119,771cba7a53aa4e47d29c790c9190ef40,51 Parliament St,43.65205,-79.362198,5
120,195c1a917f697ab4b4fb52431e921423,Queen's Park / Bloor St W,43.668456,-79.393899,11
121,e67960ae2a91a3adf6adf65a92dfd09f,Fort York Blvd / Bathurst St - SMART,43.639052,-79.399792,8
122,4b7f75302d4eec9130e1e486ba486571,Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,6
123,b457bbc38d074d5a3ea939b4d6e0d873,Queen St W / Cowan Ave,43.6409,-79.432837,4
124,1e01daecd9b52d95d82346c5c81d2ba0,Harbord St / Clinton St,43.660414,-79.415646,13
125,82051b9dc79b4b401acc0872abc734a9,Central Tech  (Harbord St),43.661975,-79.407896,6
126,4504736e6ccb393e9f89000f91479688,Roxton Rd / Harbord St,43.65905,-79.422988,5
127,b4e20439535ceebae999cba2f02789eb,Ulster St / Bathurst St,43.66,-79.4088888888889,8
128,09007b5f868cd54be0f040f9a9a75c42,Mortimer Ave / Coxwell Ave,43.690564,-79.326319,5
129,7f29cbdced0d217c129cc9648f1becbe,Danforth Ave / Barrington Ave,43.688325,-79.300463,11
130,722489dd6bf1f264c874454cf3f3f56a,Pacific Ave / Glenlake Ave,43.65716,-79.46478,20
131,b1bb117ee97b3fef3ac3b57ae12329f8,Broadview Subway Station,43.6772,-79.35858,4
132,524590c5d3e31674dbdbda29cf6a13c6,Church St  / Wood St,43.662712,-79.379903,4
133,135f69ed3bde48aaf1d0006b4f080149,College Park - Gerrard Entrance,43.658938,-79.383518,8
134,fe97ae335b31b6c455f340f397904d38,Danforth Ave / Coxwell Ave,43.683378,-79.322961,9
135,d8db167197846ff7cbe59c9a35aed587,12 Harbour St,43.6425636,-79.3762,14
136,391a459d2ca6e2c8eefa90736b2e9142,Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,5
137,97a0a3eefa88468c8389efa6bbbd2f50,Yonge St / Bloor St,43.669969,-79.386532,7
138,0ac5489c6a4750403c053598153880b0,Dufferin Gate - SMART,43.633473,-79.425679,5
139,0e89e5d6c910f6df787cd9c903ade959,Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,13
140,d0d6832dcab19b3cb35c2474d2e8c088,Bloor St W / Shaw St - SMART,43.662403,-79.423098,21
141,beb87ea54499f95a614653924c99b9c4,Concord Ave / Dewson St,43.656945,-79.424911,14
142,d8c6779ffdcc8889412fd4c9b0a08c35,Hocken Ave / Vaughan Rd,43.6817346,-79.4184725,11
