,id,name,lat,lon,bikes,fs_parks,yelp_parks
148,40e171b076eee2cc9b8405f394f0ace7,Simcoe St / Dundas St W - SMART,43.655103,-79.389295,16,50,36
149,8362e07e9e4d9c67eb283cae15684c8e,College St / Markham St,43.65638889,-79.40916667,9,48,18
150,71ecba080a7e19ebfb8dcde4964a5277,Sunnyside - Gus Ryder Pool,43.637894,-79.454823,20,22,11
151,90255da65a5396af7e18b556f1d3e618,High Park - West Rd,43.6525077,-79.4654233,18,28,7
152,ba4fc8dd224feedb2762d341bf58916f,Bloor St W / High Park Ave (High Park),43.6535269,-79.4650569,17,27,7
153,15e76731635f7e3ac4484228bc8f60ad,Front St E / Cherry St,43.652686,-79.358395,12,42,27
154,25b1225382e6b213b935daffe25fbfff,519 Church St  - SMART,43.66685078,-79.38114575,2,50,33
155,092cb5f641f627d7b43e321542ccc066,Dundas St E / River St,43.661152,-79.358505,11,44,27
156,daf29ca6d17e9b4b4921ebfb3fa749c4,Shuter St/River St,43.659296,-79.358035,2,44,28
157,83af92756a52874ce9bade85f065f4d1,Madison Ave / Bloor St W,43.667158,-79.402761,12,50,24
158,59ebd8c24f539c66f2fa4f178e75eb0a,Danforth Ave / Danforth Rd,43.69362207,-79.2771053,8,11,1
159,aa44f34bf848cea7d5570c51697d8ac4,Brimley Rd / McCowan District Park,43.72704086,-79.24391402,11,6,2
160,5539f3700e4ce9e5701353a667924538,Ossington Ave / Bruce St,43.64570237,-79.41933192,0,39,15
161,1829fb7bd0a98ee2fc523f35ea417baf,King St W / Jameson Ave - SMART,43.63735796,-79.43617976,0,28,7
162,8799c470baa28d22cc44e4efd611aef5,Parkcrest Dr / Kingston Rd,43.73596719,-79.21995221,13,9,2
163,7f760f7680dae3ad47ef0821337c8366,Scarborough Soccer Centre,43.7154661,-79.2876595,11,8,3
164,6f7157a5846ff850e7e5b9f6b8b450c4,Lansdowne Ave / Seaforth Ave ,43.6429044,-79.43746059,2,31,9
165,cc5bd0485cb1b99156098277af99641f,Danforth Rd / Birchmount Rd ,43.70688,-79.26851,8,13,1
166,362434f77c0efeb50a5deb4ca9ce8969,Pharmacy Ave / Teesdale Pl,43.69735608,-79.28528711,10,11,1
167,ec83cf5759b66963ff5ea75bee4b9f1d,Yonge St / Montgomery Ave - SMART,43.7096086,-79.39915125,12,29,7
168,8fc44e8a98df79c9c41e04c531551a25,552 Birchmount Rd,43.71176279,-79.27028153,11,9,0
169,519ee649fcd1ad28beade12953db3732,Highfield Rd / Gerrard St E,43.671771,-79.324961,0,37,15
170,44d245c021bcfb69fed5e4b088d60dd5,Eastgate Ct / Pharmacy Ave ,43.71104424,-79.29127314,10,10,1
171,84e8e3827807916c9c3ac9b60404346d,Firvalley Ct / Warden Ave,43.7032112,-79.2787149,10,10,1
172,84dc7d9185e88915466d12f23fe07753,Midland Ave / Kingston Rd,43.7128578,-79.2487086,10,10,1
173,6228f42d28032bf18c0a7f9411df5fa0,Bellamy Rd S / Kingston Rd,43.73232779,-79.2249662,8,7,3
174,ec3b9fd9e808fc3e1819e802f02ea442,Avenue Rd / Cumberland St ,43.6698217,-79.39444615,9,50,25
175,a0f722fb6a0db164e9f07ae1f0cad178,High Park Amphitheatre,43.645653,-79.464366,1,29,10
176,aabe4d22a65f405432956d974bd827c4,High Park Outdoor Pool,43.649217,-79.465319,27,29,8
177,07bf4729ad15e9e2d17d072dfb67e6b0,Fenwood Ht / Kingston Rd,43.7269017,-79.22920397,10,6,3
178,df05fe5ca5c71ce120962deaac85c1fa,Avenue Rd / Macpherson Ave ,43.67794376,-79.39836279,8,50,26
179,4eb1725531708991a552c929b737330f,Princes' Gates,43.634565,-79.409161,1,45,16
180,455237ee758de316844bd61287671f23,Dufferin St / Queen St W,43.64309688,-79.42875614,2,43,11
181,ffeaa2aaedeb18fc11f708bcd8323149,Bay St / Dundas St W,43.65535078,-79.38345967,9,50,37
182,1993b48e5142184f347f9d517f120d03,Shaw St / King St W,43.64125616,-79.41502994,0,49,16
183,6eaaf36cd079d08d973fdf24e217aa3d,Portland St / Queen St W,43.6476,-79.4015,2,50,33
184,f2bce10cc9ea50a3431d1ed152ff4e2c,Yonge St / Merton St ,43.69627507,-79.39629396,19,27,6
185,b602b86a935450f8aae69903762d466e,Soudan Ave / Yonge St ,43.7043096,-79.3972815,12,24,6
186,1458ace78e8ffe65dd60c610007afe8e,Avenue Rd / Oxton Ave ,43.6971116,-79.40537298,13,24,7
187,3b485775d2f902b5529790c4047dff24,1612 Danforth Ave ,43.68370788,-79.32262454,15,26,6
188,1c0219e93091b1027eda482f4a31ded6,75 Holly St - Green P,43.7063279,-79.3962499,18,28,6
189,4b9dda1f2f28774233b34dcff549466b,Adelaide St W / Brant St - SMART,43.64600446,-79.39877642,5,50,34
190,b542b8a95776fceb86045c831303a7cd,Lisgar St / Queen St W - SMART,43.64299174,-79.42355912,13,41,12
191,786a216c74ede38763e705b21c0284e2,Leslie St / Commissioners St  ,43.6572755,-79.32661544,13,28,15
192,3a73375ca8c3f3fc85b7b32ec080be5e,Greenwood Ave / Sammon Ave,43.68698673,-79.33478198,9,21,5
